"","id","table","sb","sb_stack","bb","bb_stack","utg","utg_stack","p4","p4_stack","p5","p5_stack","d","d_stack"
"7960",3064903342,"DOVE AVE","8z33KASCGgAHVfxu6HD4UA",1148.5,"y/xXiv3wrsVNOi4N7qXbuQ",3350,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",1193.5
"7961",3064886338,"ANN ARBOR","jzhKcsjzeM8Zaw5lPEYSig",1990,"gOsVBKXNE2SWcyCH5T5sDg",1816,"ZvUzSVOOKZwfU5rLMFTUFg",4187.5,"y/xXiv3wrsVNOi4N7qXbuQ",7427,"VP8zRGrfIIYKQrIN+czl+w",1474,"uTAZ8SSSb+9UY4iT33HAPg",1250
"7962",3064904838,"DOVE AVE","y/xXiv3wrsVNOi4N7qXbuQ",3340,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",1193.5,"8z33KASCGgAHVfxu6HD4UA",1143.5
"7963",3064895634,"DELTA DR","gOsVBKXNE2SWcyCH5T5sDg",3059,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1160,"y/xXiv3wrsVNOi4N7qXbuQ",3270,"ZY9O2Uu8JFr2/I+nXQPmRQ",2159,"8z33KASCGgAHVfxu6HD4UA",1259
"7964",3064906362,"DOVE AVE","gOsVBKXNE2SWcyCH5T5sDg",2049,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",1193.5,"8z33KASCGgAHVfxu6HD4UA",1143.5,"y/xXiv3wrsVNOi4N7qXbuQ",3335
"7965",3064896756,"DELTA DR","ZvUzSVOOKZwfU5rLMFTUFg",3288.5,"uTAZ8SSSb+9UY4iT33HAPg",1175,"y/xXiv3wrsVNOi4N7qXbuQ",3270,"ZY9O2Uu8JFr2/I+nXQPmRQ",2159,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3054
"7966",3064908366,"DOVE AVE","ZvUzSVOOKZwfU5rLMFTUFg",4930.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",1103.5,"8z33KASCGgAHVfxu6HD4UA",1143.5,"y/xXiv3wrsVNOi4N7qXbuQ",3437,"gOsVBKXNE2SWcyCH5T5sDg",2044
"7967",3064909036,"DOVE AVE","jzhKcsjzeM8Zaw5lPEYSig",1955,"6nDFsX2b9krMLnZS/ulE9A",1103.5,"8z33KASCGgAHVfxu6HD4UA",1143.5,"y/xXiv3wrsVNOi4N7qXbuQ",3437,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5
"7968",3064887334,"ANN ARBOR","gOsVBKXNE2SWcyCH5T5sDg",1806,"ZvUzSVOOKZwfU5rLMFTUFg",4187.5,"y/xXiv3wrsVNOi4N7qXbuQ",7427,"VP8zRGrfIIYKQrIN+czl+w",1474,"uTAZ8SSSb+9UY4iT33HAPg",1265,"jzhKcsjzeM8Zaw5lPEYSig",1985
"7969",3064898694,"DELTA DR","uTAZ8SSSb+9UY4iT33HAPg",1165,"y/xXiv3wrsVNOi4N7qXbuQ",3270,"ZY9O2Uu8JFr2/I+nXQPmRQ",2159,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3283.5
