"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"6105",3054784230,3,1,0,1,0,2,2,0,2,1,0,0,0,1,0,1,1,0,0,0
"6106",3054787248,3,0,2,0,0,3,2,0,2,0,0,0,0,0,1,0,2,0,0,0
"6107",3054794010,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6108",3054794706,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6109",3054795774,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
"6110",3054795824,4,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0
"6111",3054797928,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6112",3054799740,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"6113",3054800126,4,0,0,1,0,0,2,0,1,1,0,0,0,1,0,1,1,1,0,0
"6114",3054801904,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6115",3054805826,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6116",3054807556,4,0,0,1,0,0,2,0,1,1,0,0,0,1,0,1,1,0,0,0
"6117",3054807558,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6118",3054812036,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6119",3054812240,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6120",3054814128,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6121",3054815750,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6122",3054816628,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6123",3054819584,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6124",3054822588,4,0,1,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"6125",3054826548,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"6126",3055712492,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"6127",3055714266,3,0,0,0,1,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0
"6128",3055714894,4,0,0,0,0,2,1,1,1,0,1,1,0,0,1,1,1,0,0,0
"6129",3055717228,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6130",3055719394,4,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0
"6131",3055729162,4,0,0,0,1,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0
"6132",3055731090,3,1,0,0,0,1,2,0,2,1,0,1,0,1,0,1,1,0,0,0
"6133",3055731584,4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"6134",3055734110,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"6135",3055734358,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"6136",3055735622,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"6137",3055735770,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6138",3055736998,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6139",3055736828,3,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0
"6140",3055745134,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
